<X>                    <Y>
2.533198900000000e-02  2.918464703423799e-02
2.544628100000000e-02  2.946542443935787e-02
2.556108900000000e-02  2.973401588109501e-02
2.567641500000000e-02  2.993645822263804e-02
2.579226200000000e-02  3.001192465703870e-02
2.590863100000000e-02  2.989711548645837e-02
2.602552500000000e-02  2.953102976017968e-02
2.614294600000000e-02  2.885980812241167e-02
2.626089800000000e-02  2.784131700795285e-02
2.637938100000000e-02  2.644924583182187e-02
2.649839900000000e-02  2.467624451029779e-02
2.661795400000000e-02  2.253609861688815e-02
2.673804800000000e-02  2.006456445747947e-02
2.685868400000000e-02  1.731881369949161e-02
2.697986500000000e-02  1.437551606592355e-02
2.710159200000000e-02  1.132762406904667e-02
2.722386900000000e-02  8.279799918615993e-03
2.734669700000000e-02  5.343173037945518e-03
2.747007900000000e-02  2.629194652022132e-03
2.759401800000000e-02  2.434055427908005e-04
2.771851600000000e-02  -1.720704848779303e-03
2.784357600000000e-02  -3.187367528052451e-03
2.796920000000000e-02  -4.103228474276072e-03
2.809539100000000e-02  -4.440860089589565e-03
2.822215100000000e-02  -4.200739474145810e-03
2.834948300000000e-02  -3.411584520748545e-03
2.847739000000000e-02  -2.128955668227044e-03
2.860587400000000e-02  -4.322196365154143e-04
2.873493700000000e-02  1.579998883927233e-03
2.886458300000000e-02  3.795615812398984e-03
2.899481300000000e-02  6.095608814430888e-03
2.912563200000000e-02  8.361145318866460e-03
2.925704000000000e-02  1.048037330214372e-02
2.938904100000000e-02  1.235498354084668e-02
2.952163800000000e-02  1.390553941792756e-02
2.965483300000000e-02  1.507554265108004e-02
2.978863000000000e-02  1.583387149833738e-02
2.992302900000000e-02  1.617534527948297e-02
3.005803500000000e-02  1.611953190999015e-02
3.019365100000000e-02  1.570774889827696e-02
3.032987800000000e-02  1.499865803249378e-02
3.046672000000000e-02  1.406270041187885e-02
3.060417900000000e-02  1.297592050685470e-02
3.074225800000000e-02  1.181361362808056e-02
3.088096000000000e-02  1.064437996098329e-02
3.102028800000000e-02  9.525053979338120e-03
3.116024500000000e-02  8.496934780256246e-03
3.130083300000000e-02  7.583633319974123e-03
3.144205600000000e-02  6.790673420115243e-03
3.158391500000000e-02  6.106932768173748e-03
3.172641500000000e-02  5.507650969006970e-03
3.186955800000000e-02  4.958836651132528e-03
3.201334600000000e-02  4.422510889476179e-03
3.215778300000000e-02  3.862319652850305e-03
3.230287200000000e-02  3.248947228181977e-03
3.244861600000000e-02  2.564735062519486e-03
3.259501700000000e-02  1.807030309558951e-03
3.274207800000000e-02  9.898548077692882e-04
3.288980300000000e-02  1.436896519574305e-04
3.303819500000000e-02  -6.866590235903147e-04
3.318725600000000e-02  -1.445983478063151e-03
3.333699000000000e-02  -2.074047194175906e-03
3.348739900000000e-02  -2.511849046768884e-03
3.363848600000000e-02  -2.708226524897319e-03
3.379025600000000e-02  -2.626058071165785e-03
3.394271000000000e-02  -2.247427601498048e-03
3.409585200000000e-02  -1.577151441238657e-03
3.424968500000000e-02  -6.442205582990329e-04
3.440421200000000e-02  4.990898170016385e-04
3.455943600000000e-02  1.780460174965486e-03
